Posição no depósito;Tipo de depósito;Corr.pos.dep.;Col.posição depósito;Nível da posição;Subdiv.pos.dep.;Bloq.entr.depósito;Bloq.saída depós.;Estrutura;Tipo;"Qtd. Caixas BIN
ABASTECIMENTO"
001-001-000-001;0056;001;001;000;001;X;X;Fraldas;Pallet;1
001-002-000-001;0056;001;002;000;001;X;X;Fraldas;Pallet;1
001-003-000-001;0056;001;003;000;001;X;X;Fraldas;Pallet;1
001-004-000-001;0056;001;004;000;001;X;X;Fraldas;Pallet;1
001-005-000-001;0056;001;005;000;001;X;X;Fraldas;Pallet;1
001-006-000-001;0056;001;006;000;001;X;X;Fraldas;Pallet;1
001-007-000-001;0056;001;007;000;001;X;X;Fraldas;Pallet;1
001-008-000-001;0056;001;008;000;001;X;X;Fraldas;Pallet;1
001-009-000-001;0056;001;009;000;001;X;X;Fraldas;Pallet;1
001-010-000-001;0056;001;010;000;001;X;X;Fraldas;Pallet;1
001-011-000-001;0056;001;011;000;001;X;X;Fraldas;Pallet;1
001-012-000-001;0056;001;012;000;001;X;X;Fraldas;Pallet;1
001-013-000-001;0056;001;013;000;001;X;X;Fraldas;Pallet;1
001-014-000-001;0056;001;014;000;001;X;X;Fraldas;Pallet;1
001-015-000-001;0056;001;015;000;001;X;X;Fraldas;Pallet;1
001-016-000-001;0056;001;016;000;001;X;X;Fraldas;Pallet;1
001-017-000-001;0056;001;017;000;001;X;X;Fraldas;Pallet;1
001-018-000-001;0056;001;018;000;001;X;X;Fraldas;Pallet;1
001-019-000-001;0056;001;019;000;001;X;X;Fraldas;Pallet;1
001-020-000-001;0056;001;020;000;001;X;X;Fraldas;Pallet;1
001-021-000-001;0056;001;021;000;001;X;X;Fraldas;Pallet;1
001-022-000-001;0056;001;022;000;001;X;X;Fraldas;Pallet;1
001-023-000-001;0056;001;023;000;001;X;X;Fraldas;Pallet;1
001-024-000-001;0056;001;024;000;001;X;X;Fraldas;Pallet;1
001-025-000-001;0056;001;025;000;001;X;X;Fraldas;Pallet;1
001-026-000-001;0056;001;026;000;001;X;X;Fraldas;Pallet;1
001-027-000-001;0056;001;027;000;001;X;X;Fraldas;Pallet;1
001-028-000-001;0056;001;028;000;001;X;X;Fraldas;Pallet;1
001-029-000-001;0056;001;029;000;001;X;X;Fraldas;Pallet;1
001-030-000-001;0056;001;030;000;001;X;X;Fraldas;Pallet;1
001-031-000-001;0056;001;031;000;001;X;X;Fraldas;Pallet;1
001-032-000-001;0056;001;032;000;001;X;X;Fraldas;Pallet;1
001-033-000-001;0056;001;033;000;001;X;X;Fraldas;Pallet;1
001-034-000-001;0056;001;034;000;001;X;X;Fraldas;Pallet;1
001-035-000-001;0056;001;035;000;001;X;X;Fraldas;Pallet;1
001-036-000-001;0056;001;036;000;001;X;X;Fraldas;Pallet;1
001-037-000-001;0056;001;037;000;001;X;X;Fraldas;Pallet;1
001-039-000-001;0056;001;039;000;001;X;X;Fraldas;Pallet;1
001-041-000-001;0056;001;041;000;001;X;X;Fraldas;Pallet;1
001-043-000-001;0056;001;043;000;001;X;X;Fraldas;Pallet;1
001-044-000-001;0056;001;044;000;001;X;X;Fraldas;Pallet;1
001-045-000-001;0056;001;045;000;001;X;X;Fraldas;Pallet;1
001-046-000-001;0056;001;046;000;001;X;X;Fraldas;Pallet;1
001-047-000-001;0056;001;047;000;001;X;X;Fraldas;Pallet;1
001-048-000-001;0056;001;048;000;001;X;X;Fraldas;Pallet;1
001-049-000-001;0056;001;049;000;001;X;X;Fraldas;Pallet;1
001-050-000-001;0056;001;050;000;001;X;X;Fraldas;Pallet;1
001-051-000-001;0056;001;051;000;001;X;X;Fraldas;Pallet;1
001-052-000-001;0056;001;052;000;001;X;X;Fraldas;Pallet;1
001-054-000-001;0056;001;054;000;001;X;X;Fraldas;Pallet;1
001-056-000-001;0056;001;056;000;001;X;X;Fraldas;Pallet;1
001-058-000-001;0056;001;058;000;001;X;X;Fraldas;Pallet;1
001-059-000-001;0056;001;059;000;001;X;X;Fraldas;Pallet;1
001-060-000-001;0056;001;060;000;001;X;X;Fraldas;Pallet;1
001-061-000-001;0056;001;061;000;001;X;X;Fraldas;Pallet;1
001-062-000-001;0056;001;062;000;001;X;X;Fraldas;Pallet;1
001-063-000-001;0056;001;063;000;001;X;X;Fraldas;Pallet;1
001-064-000-001;0056;001;064;000;001;X;X;Fraldas;Pallet;1
001-065-000-001;0056;001;065;000;001;X;X;Fraldas;Pallet;1
001-066-000-001;0056;001;066;000;001;X;X;Fraldas;Pallet;1
001-067-000-001;0056;001;067;000;001;X;X;Fraldas;Pallet;1
001-068-000-001;0056;001;068;000;001;X;X;Fraldas;Pallet;1
001-069-000-001;0056;001;069;000;001;X;X;Fraldas;Pallet;1
001-070-000-001;0056;001;070;000;001;X;X;Fraldas;Pallet;1
001-071-000-001;0056;001;071;000;001;X;X;Fraldas;Pallet;1
001-072-000-001;0056;001;072;000;001;X;X;Fraldas;Pallet;1
001-073-000-001;0056;001;073;000;001;X;X;Fraldas;Pallet;1
001-074-000-001;0056;001;074;000;001;X;X;Fraldas;Pallet;1
001-075-000-001;0056;001;075;000;001;X;X;Fraldas;Pallet;1
001-076-000-001;0056;001;076;000;001;X;X;Fraldas;Pallet;1
001-077-000-001;0056;001;077;000;001;X;X;Fraldas;Pallet;1
001-078-000-001;0056;001;078;000;001;X;X;Fraldas;Pallet;1
001-085-000-001;0056;001;085;000;001;X;X;Fraldas;Pallet;1
001-086-000-001;0056;001;086;000;001;X;X;Fraldas;Pallet;1
001-087-000-001;0056;001;087;000;001;X;X;Fraldas;Pallet;1
001-088-000-001;0056;001;088;000;001;X;X;Fraldas;Pallet;1
001-089-000-001;0056;001;089;000;001;X;X;Fraldas;Pallet;1
001-090-000-001;0056;001;090;000;001;X;X;Fraldas;Pallet;1
001-091-000-001;0056;001;091;000;001;X;X;Fraldas;Pallet;1
001-092-000-001;0056;001;092;000;001;X;X;Fraldas;Pallet;1
001-093-000-001;0056;001;093;000;001;X;X;Fraldas;Pallet;1
001-094-000-001;0056;001;094;000;001;X;X;Fraldas;Pallet;1
001-095-000-001;0056;001;095;000;001;X;X;Fraldas;Pallet;1
001-096-000-001;0056;001;096;000;001;X;X;Fraldas;Pallet;1
001-097-000-001;0056;001;097;000;001;X;X;Fraldas;Pallet;1
001-098-000-001;0056;001;098;000;001;X;X;Fraldas;Pallet;1
001-099-000-001;0056;001;099;000;001;X;X;Fraldas;Pallet;1
001-100-000-001;0056;001;100;000;001;X;X;Fraldas;Pallet;1
001-101-000-001;0056;001;101;000;001;X;X;Fraldas;Pallet;1
001-102-000-001;0056;001;102;000;001;X;X;Fraldas;Pallet;1
001-103-000-001;0056;001;103;000;001;X;X;Fraldas;Pallet;1
001-104-000-001;0056;001;104;000;001;X;X;Fraldas;Pallet;1
001-105-000-001;0056;001;105;000;001;X;X;Fraldas;Pallet;1
001-106-000-001;0056;001;106;000;001;X;X;Fraldas;Pallet;1
001-107-000-001;0056;001;107;000;001;X;X;Fraldas;Pallet;1
001-108-000-001;0056;001;108;000;001;X;X;Fraldas;Pallet;1
001-109-000-001;0056;001;109;000;001;X;X;Fraldas;Pallet;1
001-110-000-001;0056;001;110;000;001;X;X;Fraldas;Pallet;1
001-111-000-001;0056;001;111;000;001;X;X;Fraldas;Pallet;1
001-112-000-001;0056;001;112;000;001;X;X;Fraldas;Pallet;1
001-113-000-001;0056;001;113;000;001;X;X;Fraldas;Pallet;1
001-114-000-001;0056;001;114;000;001;X;X;Fraldas;Pallet;1
001-115-000-001;0056;001;115;000;001;X;X;Fraldas;Pallet;1
001-116-000-001;0056;001;116;000;001;X;X;Fraldas;Pallet;1
001-117-000-001;0056;001;117;000;001;X;X;Fraldas;Pallet;1
001-118-000-001;0056;001;118;000;001;X;X;Fraldas;Pallet;1
001-119-000-001;0056;001;119;000;001;X;X;Fraldas;Pallet;1
001-120-000-001;0056;001;120;000;001;X;X;Fraldas;Pallet;1
001-121-000-001;0056;001;121;000;001;X;X;Fraldas;Pallet;1
001-122-000-001;0056;001;122;000;001;X;X;Fraldas;Pallet;1
001-123-000-001;0056;001;123;000;001;X;X;Fraldas;Pallet;1
001-124-000-001;0056;001;124;000;001;X;X;Fraldas;Pallet;1
001-125-000-001;0056;001;125;000;001;X;X;Fraldas;Pallet;1
001-127-000-001;0056;001;127;000;001;X;X;Fraldas;Pallet;1
001-129-000-001;0056;001;129;000;001;X;X;Fraldas;Pallet;1
003-001-000-001;0056;003;001;000;001;X;X;Fraldas;Pallet;1
003-002-000-001;0056;003;002;000;001;X;X;Fraldas;Pallet;1
003-003-000-001;0056;003;003;000;001;X;X;Fraldas;Pallet;1
003-004-000-001;0056;003;004;000;001;X;X;Fraldas;Pallet;1
003-005-000-001;0056;003;005;000;001;X;X;Fraldas;Pallet;1
003-006-000-001;0056;003;006;000;001;X;X;Fraldas;Pallet;1
003-007-000-001;0056;003;007;000;001;X;X;Fraldas;Pallet;1
003-008-000-001;0056;003;008;000;001;X;X;Fraldas;Pallet;1
003-009-000-001;0056;003;009;000;001;X;X;Fraldas;Pallet;1
003-010-000-001;0056;003;010;000;001;X;X;Fraldas;Pallet;1
003-011-000-001;0056;003;011;000;001;X;X;Fraldas;Pallet;1
003-012-000-001;0056;003;012;000;001;X;X;Fraldas;Pallet;1
003-013-000-001;0056;003;013;000;001;X;X;Fraldas;Pallet;1
003-014-000-001;0056;003;014;000;001;X;X;Fraldas;Pallet;1
003-015-000-001;0056;003;015;000;001;X;X;Fraldas;Pallet;1
003-016-000-001;0056;003;016;000;001;X;X;Fraldas;Pallet;1
0056-START_END;0056;;;;;;;Fraldas;Pallet;1
018-001-000-001;0053;018;001;000;001;;;Caixa Fechada;Pallet;1
018-002-000-001;0053;018;002;000;001;;;Caixa Fechada;Pallet;1
018-003-000-001;0053;018;003;000;001;;;Caixa Fechada;Pallet;1
018-004-000-001;0053;018;004;000;001;;;Caixa Fechada;Pallet;1
018-005-000-001;0053;018;005;000;001;;;Caixa Fechada;Pallet;1
018-006-000-001;0053;018;006;000;001;;;Caixa Fechada;Pallet;1
018-007-000-001;0053;018;007;000;001;;;Caixa Fechada;Pallet;1
018-008-000-001;0053;018;008;000;001;;;Caixa Fechada;Pallet;1
018-009-000-001;0053;018;009;000;001;;;Caixa Fechada;Pallet;1
018-010-000-001;0053;018;010;000;001;;;Caixa Fechada;Pallet;1
018-011-000-001;0053;018;011;000;001;;;Caixa Fechada;Pallet;1
018-012-000-001;0053;018;012;000;001;;;Caixa Fechada;Pallet;1
018-013-000-001;0053;018;013;000;001;;;Caixa Fechada;Pallet;1
018-014-000-001;0053;018;014;000;001;;;Caixa Fechada;Pallet;1
018-015-000-001;0053;018;015;000;001;;;Caixa Fechada;Pallet;1
018-016-000-001;0053;018;016;000;001;;;Caixa Fechada;Pallet;1
018-017-000-001;0053;018;017;000;001;;;Caixa Fechada;Pallet;1
018-018-000-001;0053;018;018;000;001;;;Caixa Fechada;Pallet;1
018-019-000-001;0053;018;019;000;001;;;Caixa Fechada;Pallet;1
018-020-000-001;0053;018;020;000;001;;;Caixa Fechada;Pallet;1
018-021-000-001;0053;018;021;000;001;;;Caixa Fechada;Pallet;1
018-022-000-001;0053;018;022;000;001;;;Caixa Fechada;Pallet;1
018-023-000-001;0053;018;023;000;001;;;Caixa Fechada;Pallet;1
018-024-000-001;0053;018;024;000;001;;;Caixa Fechada;Pallet;1
018-025-000-001;0053;018;025;000;001;;;Caixa Fechada;Pallet;1
018-026-000-001;0053;018;026;000;001;;;Caixa Fechada;Pallet;1
018-027-000-001;0053;018;027;000;001;;;Caixa Fechada;Pallet;1
018-028-000-001;0053;018;028;000;001;;;Caixa Fechada;Pallet;1
018-029-000-001;0053;018;029;000;001;;;Caixa Fechada;Pallet;1
018-030-000-001;0053;018;030;000;001;;;Caixa Fechada;Pallet;1
018-031-000-001;0053;018;031;000;001;;;Caixa Fechada;Pallet;1
018-032-000-001;0053;018;032;000;001;;;Caixa Fechada;Pallet;1
018-033-000-001;0053;018;033;000;001;;;Caixa Fechada;Pallet;1
018-034-000-001;0053;018;034;000;001;;;Caixa Fechada;Pallet;1
018-035-000-001;0053;018;035;000;001;;;Caixa Fechada;Pallet;1
018-036-000-001;0053;018;036;000;001;;;Caixa Fechada;Pallet;1
018-037-000-001;0053;018;037;000;001;;;Caixa Fechada;Pallet;1
018-038-000-001;0053;018;038;000;001;;;Caixa Fechada;Pallet;1
018-039-000-001;0053;018;039;000;001;;;Caixa Fechada;Pallet;1
018-040-000-001;0053;018;040;000;001;;;Caixa Fechada;Pallet;1
018-041-000-001;0053;018;041;000;001;;;Caixa Fechada;Pallet;1
018-042-000-001;0053;018;042;000;001;;;Caixa Fechada;Pallet;1
018-043-000-001;0053;018;043;000;001;;;Caixa Fechada;Pallet;1
018-044-000-001;0053;018;044;000;001;;;Caixa Fechada;Pallet;1
018-045-000-001;0053;018;045;000;001;;;Caixa Fechada;Pallet;1
018-046-000-001;0053;018;046;000;001;;;Caixa Fechada;Pallet;1
018-047-000-001;0053;018;047;000;001;;;Caixa Fechada;Pallet;1
018-048-000-001;0053;018;048;000;001;;;Caixa Fechada;Pallet;1
018-049-000-001;0053;018;049;000;001;;;Caixa Fechada;Pallet;1
018-050-000-001;0053;018;050;000;001;;;Caixa Fechada;Pallet;1
018-051-000-001;0053;018;051;000;001;;;Caixa Fechada;Pallet;1
018-052-000-001;0053;018;052;000;001;;;Caixa Fechada;Pallet;1
018-053-000-001;0053;018;053;000;001;;;Caixa Fechada;Pallet;1
018-054-000-001;0053;018;054;000;001;;;Caixa Fechada;Pallet;1
018-061-000-001;0053;018;061;000;001;;;Caixa Fechada;Pallet;1
018-062-000-001;0053;018;062;000;001;;;Caixa Fechada;Pallet;1
018-063-000-001;0053;018;063;000;001;;;Caixa Fechada;Pallet;1
018-064-000-001;0053;018;064;000;001;;;Caixa Fechada;Pallet;1
018-065-000-001;0053;018;065;000;001;;;Caixa Fechada;Pallet;1
018-066-000-001;0053;018;066;000;001;;;Caixa Fechada;Pallet;1
018-067-000-001;0053;018;067;000;001;;;Caixa Fechada;Pallet;1
018-068-000-001;0053;018;068;000;001;;;Caixa Fechada;Pallet;1
018-069-000-001;0053;018;069;000;001;;;Caixa Fechada;Pallet;1
018-070-000-001;0053;018;070;000;001;;;Caixa Fechada;Pallet;1
018-071-000-001;0053;018;071;000;001;;;Caixa Fechada;Pallet;1
018-072-000-001;0053;018;072;000;001;;;Caixa Fechada;Pallet;1
018-073-000-001;0053;018;073;000;001;;;Caixa Fechada;Pallet;1
018-074-000-001;0053;018;074;000;001;;;Caixa Fechada;Pallet;1
018-075-000-001;0053;018;075;000;001;;;Caixa Fechada;Pallet;1
018-076-000-001;0053;018;076;000;001;;;Caixa Fechada;Pallet;1
018-077-000-001;0053;018;077;000;001;;;Caixa Fechada;Pallet;1
018-078-000-001;0053;018;078;000;001;;;Caixa Fechada;Pallet;1
018-079-000-001;0053;018;079;000;001;;;Caixa Fechada;Pallet;1
018-080-000-001;0053;018;080;000;001;;;Caixa Fechada;Pallet;1
018-081-000-001;0053;018;081;000;001;;;Caixa Fechada;Pallet;1
018-082-000-001;0053;018;082;000;001;;;Caixa Fechada;Pallet;1
018-083-000-001;0053;018;083;000;001;;;Caixa Fechada;Pallet;1
018-084-000-001;0053;018;084;000;001;;;Caixa Fechada;Pallet;1
018-085-000-001;0053;018;085;000;001;;;Caixa Fechada;Pallet;1
018-086-000-001;0053;018;086;000;001;;;Caixa Fechada;Pallet;1
018-087-000-001;0053;018;087;000;001;;;Caixa Fechada;Pallet;1
018-088-000-001;0053;018;088;000;001;;;Caixa Fechada;Pallet;1
018-089-000-001;0053;018;089;000;001;;;Caixa Fechada;Pallet;1
018-090-000-001;0053;018;090;000;001;;;Caixa Fechada;Pallet;1
018-091-000-001;0053;018;091;000;001;;;Caixa Fechada;Pallet;1
018-092-000-001;0053;018;092;000;001;;;Caixa Fechada;Pallet;1
018-093-000-001;0053;018;093;000;001;;;Caixa Fechada;Pallet;1
018-094-000-001;0053;018;094;000;001;;;Caixa Fechada;Pallet;1
018-095-000-001;0053;018;095;000;001;;;Caixa Fechada;Pallet;1
018-096-000-001;0053;018;096;000;001;;;Caixa Fechada;Pallet;1
018-097-000-001;0053;018;097;000;001;;;Caixa Fechada;Pallet;1
018-098-000-001;0053;018;098;000;001;;;Caixa Fechada;Pallet;1
018-099-000-001;0053;018;099;000;001;;;Caixa Fechada;Pallet;1
018-100-000-001;0053;018;100;000;001;;;Caixa Fechada;Pallet;1
018-101-000-001;0053;018;101;000;001;;;Caixa Fechada;Pallet;1
018-102-000-001;0053;018;102;000;001;;;Caixa Fechada;Pallet;1
018-103-000-001;0053;018;103;000;001;;;Caixa Fechada;Pallet;1
018-104-000-001;0053;018;104;000;001;;;Caixa Fechada;Pallet;1
018-105-000-001;0053;018;105;000;001;;;Caixa Fechada;Pallet;1
018-106-000-001;0053;018;106;000;001;;;Caixa Fechada;Pallet;1
018-107-000-001;0053;018;107;000;001;;;Caixa Fechada;Pallet;1
018-108-000-001;0053;018;108;000;001;;;Caixa Fechada;Pallet;1
018-109-000-001;0053;018;109;000;001;;;Caixa Fechada;Pallet;1
018-110-000-001;0053;018;110;000;001;;;Caixa Fechada;Pallet;1
018-111-000-001;0053;018;111;000;001;;;Caixa Fechada;Pallet;1
018-112-000-001;0053;018;112;000;001;;;Caixa Fechada;Pallet;1
018-113-000-001;0053;018;113;000;001;;;Caixa Fechada;Pallet;1
018-114-000-001;0053;018;114;000;001;;;Caixa Fechada;Pallet;1
018-115-000-001;0053;018;115;000;001;;;Caixa Fechada;Pallet;1
018-116-000-001;0053;018;116;000;001;;;Caixa Fechada;Pallet;1
018-117-000-001;0053;018;117;000;001;;;Caixa Fechada;Pallet;1
018-118-000-001;0053;018;118;000;001;;;Caixa Fechada;Pallet;1
018-119-000-001;0053;018;119;000;001;;;Caixa Fechada;Pallet;1
018-120-000-001;0053;018;120;000;001;;;Caixa Fechada;Pallet;1
018-121-000-001;0053;018;121;000;001;;;Caixa Fechada;Pallet;1
018-122-000-001;0053;018;122;000;001;;;Caixa Fechada;Pallet;1
018-123-000-001;0053;018;123;000;001;;;Caixa Fechada;Pallet;1
018-124-000-001;0053;018;124;000;001;;;Caixa Fechada;Pallet;1
018-125-000-001;0053;018;125;000;001;;;Caixa Fechada;Pallet;1
018-126-000-001;0053;018;126;000;001;;;Caixa Fechada;Pallet;1
018-127-000-001;0053;018;127;000;001;;;Caixa Fechada;Pallet;1
018-128-000-001;0053;018;128;000;001;;;Caixa Fechada;Pallet;1
018-129-000-001;0053;018;129;000;001;;;Caixa Fechada;Pallet;1
018-130-000-001;0053;018;130;000;001;;;Caixa Fechada;Pallet;1
018-131-000-001;0053;018;131;000;001;;;Caixa Fechada;Pallet;1
018-132-000-001;0053;018;132;000;001;;;Caixa Fechada;Pallet;1
018-133-000-001;0053;018;133;000;001;;;Caixa Fechada;Pallet;1
018-134-000-001;0053;018;134;000;001;;;Caixa Fechada;Pallet;1
019-001-000-001;0053;019;001;000;001;;;Caixa Fechada;Pallet;1
019-002-000-001;0053;019;002;000;001;;;Caixa Fechada;Pallet;1
019-003-000-001;0053;019;003;000;001;;;Caixa Fechada;Pallet;1
019-004-000-001;0053;019;004;000;001;;;Caixa Fechada;Pallet;1
019-005-000-001;0053;019;005;000;001;;;Caixa Fechada;Pallet;1
019-006-000-001;0053;019;006;000;001;;;Caixa Fechada;Pallet;1
019-007-000-001;0053;019;007;000;001;;;Caixa Fechada;Pallet;1
019-008-000-001;0053;019;008;000;001;;;Caixa Fechada;Pallet;1
019-009-000-001;0053;019;009;000;001;;;Caixa Fechada;Pallet;1
019-010-000-001;0053;019;010;000;001;;;Caixa Fechada;Pallet;1
019-011-000-001;0053;019;011;000;001;;;Caixa Fechada;Pallet;1
019-012-000-001;0053;019;012;000;001;X;X;Caixa Fechada;Pallet;1
019-013-000-001;0053;019;013;000;001;;;Caixa Fechada;Pallet;1
019-014-000-001;0053;019;014;000;001;;;Caixa Fechada;Pallet;1
019-015-000-001;0053;019;015;000;001;;;Caixa Fechada;Pallet;1
019-016-000-001;0053;019;016;000;001;;;Caixa Fechada;Pallet;1
019-017-000-001;0053;019;017;000;001;;;Caixa Fechada;Pallet;1
019-018-000-001;0053;019;018;000;001;;;Caixa Fechada;Pallet;1
019-019-000-001;0053;019;019;000;001;;;Caixa Fechada;Pallet;1
019-020-000-001;0053;019;020;000;001;;;Caixa Fechada;Pallet;1
019-021-000-001;0053;019;021;000;001;;;Caixa Fechada;Pallet;1
019-022-000-001;0053;019;022;000;001;;;Caixa Fechada;Pallet;1
019-023-000-001;0053;019;023;000;001;;;Caixa Fechada;Pallet;1
019-024-000-001;0053;019;024;000;001;;;Caixa Fechada;Pallet;1
019-025-000-001;0053;019;025;000;001;;;Caixa Fechada;Pallet;1
019-026-000-001;0053;019;026;000;001;;;Caixa Fechada;Pallet;1
019-027-000-001;0053;019;027;000;001;;;Caixa Fechada;Pallet;1
019-028-000-001;0053;019;028;000;001;;;Caixa Fechada;Pallet;1
019-029-000-001;0053;019;029;000;001;;;Caixa Fechada;Pallet;1
019-030-000-001;0053;019;030;000;001;;;Caixa Fechada;Pallet;1
019-031-000-001;0053;019;031;000;001;;;Caixa Fechada;Pallet;1
019-032-000-001;0053;019;032;000;001;;;Caixa Fechada;Pallet;1
019-033-000-001;0053;019;033;000;001;;;Caixa Fechada;Pallet;1
019-034-000-001;0053;019;034;000;001;;;Caixa Fechada;Pallet;1
019-035-000-001;0053;019;035;000;001;;;Caixa Fechada;Pallet;1
019-036-000-001;0053;019;036;000;001;;;Caixa Fechada;Pallet;1
019-037-000-001;0053;019;037;000;001;;;Caixa Fechada;Pallet;1
019-038-000-001;0053;019;038;000;001;;;Caixa Fechada;Pallet;1
019-039-000-001;0053;019;039;000;001;;;Caixa Fechada;Pallet;1
019-040-000-001;0053;019;040;000;001;;;Caixa Fechada;Pallet;1
019-041-000-001;0053;019;041;000;001;;;Caixa Fechada;Pallet;1
019-042-000-001;0053;019;042;000;001;;;Caixa Fechada;Pallet;1
019-043-000-001;0053;019;043;000;001;;;Caixa Fechada;Pallet;1
019-044-000-001;0053;019;044;000;001;;;Caixa Fechada;Pallet;1
019-045-000-001;0053;019;045;000;001;;;Caixa Fechada;Pallet;1
019-046-000-001;0053;019;046;000;001;;;Caixa Fechada;Pallet;1
019-047-000-001;0053;019;047;000;001;;;Caixa Fechada;Pallet;1
019-048-000-001;0053;019;048;000;001;;;Caixa Fechada;Pallet;1
019-049-000-001;0053;019;049;000;001;;;Caixa Fechada;Pallet;1
019-050-000-001;0053;019;050;000;001;;;Caixa Fechada;Pallet;1
019-051-000-001;0053;019;051;000;001;;;Caixa Fechada;Pallet;1
019-052-000-001;0053;019;052;000;001;;;Caixa Fechada;Pallet;1
019-053-000-001;0053;019;053;000;001;;;Caixa Fechada;Pallet;1
019-054-000-001;0053;019;054;000;001;;;Caixa Fechada;Pallet;1
019-061-000-001;0053;019;061;000;001;;;Caixa Fechada;Pallet;1
019-062-000-001;0053;019;062;000;001;;;Caixa Fechada;Pallet;1
019-063-000-001;0053;019;063;000;001;;;Caixa Fechada;Pallet;1
019-064-000-001;0053;019;064;000;001;;;Caixa Fechada;Pallet;1
019-065-000-001;0053;019;065;000;001;;;Caixa Fechada;Pallet;1
019-066-000-001;0053;019;066;000;001;;;Caixa Fechada;Pallet;1
019-067-000-001;0053;019;067;000;001;;;Caixa Fechada;Pallet;1
019-068-000-001;0053;019;068;000;001;;;Caixa Fechada;Pallet;1
019-069-000-001;0053;019;069;000;001;;;Caixa Fechada;Pallet;1
019-070-000-001;0053;019;070;000;001;;;Caixa Fechada;Pallet;1
019-071-000-001;0053;019;071;000;001;;;Caixa Fechada;Pallet;1
019-072-000-001;0053;019;072;000;001;;;Caixa Fechada;Pallet;1
019-073-000-001;0053;019;073;000;001;;;Caixa Fechada;Pallet;1
019-074-000-001;0053;019;074;000;001;;;Caixa Fechada;Pallet;1
019-075-000-001;0053;019;075;000;001;;;Caixa Fechada;Pallet;1
019-076-000-001;0053;019;076;000;001;;;Caixa Fechada;Pallet;1
019-077-000-001;0053;019;077;000;001;;;Caixa Fechada;Pallet;1
019-078-000-001;0053;019;078;000;001;;;Caixa Fechada;Pallet;1
019-079-000-001;0053;019;079;000;001;;;Caixa Fechada;Pallet;1
019-080-000-001;0053;019;080;000;001;;;Caixa Fechada;Pallet;1
019-081-000-001;0053;019;081;000;001;;;Caixa Fechada;Pallet;1
019-082-000-001;0053;019;082;000;001;;;Caixa Fechada;Pallet;1
019-083-000-001;0053;019;083;000;001;;;Caixa Fechada;Pallet;1
019-084-000-001;0053;019;084;000;001;;;Caixa Fechada;Pallet;1
019-085-000-001;0053;019;085;000;001;;;Caixa Fechada;Pallet;1
019-086-000-001;0053;019;086;000;001;;;Caixa Fechada;Pallet;1
019-087-000-001;0053;019;087;000;001;;;Caixa Fechada;Pallet;1
019-088-000-001;0053;019;088;000;001;;;Caixa Fechada;Pallet;1
019-089-000-001;0053;019;089;000;001;;;Caixa Fechada;Pallet;1
019-090-000-001;0053;019;090;000;001;;;Caixa Fechada;Pallet;1
019-091-000-001;0053;019;091;000;001;;;Caixa Fechada;Pallet;1
019-092-000-001;0053;019;092;000;001;;;Caixa Fechada;Pallet;1
019-093-000-001;0053;019;093;000;001;;;Caixa Fechada;Pallet;1
019-094-000-001;0053;019;094;000;001;;;Caixa Fechada;Pallet;1
019-095-000-001;0053;019;095;000;001;;;Caixa Fechada;Pallet;1
019-096-000-001;0053;019;096;000;001;;;Caixa Fechada;Pallet;1
019-097-000-001;0053;019;097;000;001;;;Caixa Fechada;Pallet;1
019-098-000-001;0053;019;098;000;001;;;Caixa Fechada;Pallet;1
019-099-000-001;0053;019;099;000;001;;;Caixa Fechada;Pallet;1
019-100-000-001;0053;019;100;000;001;;;Caixa Fechada;Pallet;1
019-101-000-001;0053;019;101;000;001;;;Caixa Fechada;Pallet;1
019-102-000-001;0053;019;102;000;001;;;Caixa Fechada;Pallet;1
019-103-000-001;0053;019;103;000;001;;;Caixa Fechada;Pallet;1
019-104-000-001;0053;019;104;000;001;;;Caixa Fechada;Pallet;1
019-105-000-001;0053;019;105;000;001;;;Caixa Fechada;Pallet;1
019-106-000-001;0053;019;106;000;001;;;Caixa Fechada;Pallet;1
019-107-000-001;0053;019;107;000;001;;;Caixa Fechada;Pallet;1
019-108-000-001;0053;019;108;000;001;;;Caixa Fechada;Pallet;1
019-109-000-001;0053;019;109;000;001;;;Caixa Fechada;Pallet;1
019-110-000-001;0053;019;110;000;001;;;Caixa Fechada;Pallet;1
019-111-000-001;0053;019;111;000;001;;;Caixa Fechada;Pallet;1
019-112-000-001;0053;019;112;000;001;;;Caixa Fechada;Pallet;1
019-113-000-001;0053;019;113;000;001;;;Caixa Fechada;Pallet;1
019-114-000-001;0053;019;114;000;001;;;Caixa Fechada;Pallet;1
019-115-000-001;0053;019;115;000;001;;;Caixa Fechada;Pallet;1
019-116-000-001;0053;019;116;000;001;;;Caixa Fechada;Pallet;1
019-117-000-001;0053;019;117;000;001;;;Caixa Fechada;Pallet;1
019-118-000-001;0053;019;118;000;001;;;Caixa Fechada;Pallet;1
019-119-000-001;0053;019;119;000;001;;;Caixa Fechada;Pallet;1
019-120-000-001;0053;019;120;000;001;;;Caixa Fechada;Pallet;1
019-121-000-001;0053;019;121;000;001;;;Caixa Fechada;Pallet;1
019-122-000-001;0053;019;122;000;001;;;Caixa Fechada;Pallet;1
019-123-000-001;0053;019;123;000;001;;;Caixa Fechada;Pallet;1
019-124-000-001;0053;019;124;000;001;;;Caixa Fechada;Pallet;1
